UKPRN,HE provider,Female,Male,Other,Total
10008173,University College of Estate Management,845,1960,5,2805
10007832,Newman University,2110,680,0,2795
10037449,University of St Mark and St John,1410,1335,0,2750
10007777,Royal College of Art,1805,835,10,2645
10005389,Ravensbourne University London,1250,1280,5,2535
10007779,The Royal Veterinary College,1995,510,5,2510
10002681,Glasgow School of Art,1570,765,45,2380
10004775,Norwich University of the Arts,1435,895,30,2360
10007769,London Business School,850,1460,0,2305
10007811,Bishop Grosseteste University,1820,455,5,2280
10003331,Regent's University London,1165,1050,0,2210
10003854,Leeds Arts University,1630,510,5,2145
10080811,Hartpury University,1330,665,0,1995
10003212,Hult International Business School Ltd,675,900,5,1575
10005700,SRUC,880,685,5,1570
10003239,ICON College of Technology and Management,880,655,0,1535
10008455,Regent College,760,685,0,1445
10021682,Kaplan Open Learning,880,440,0,1320
10005127,Plymouth College of Art,955,355,0,1305
10034449,Leeds Conservatoire,430,870,0,1300
10007820,Grŵp Llandrillo Menai,785,515,0,1300
10042570,Pearson College,605,690,0,1295
10004061,Bloomsbury Institute,810,480,0,1290
10008017,Trinity Laban Conservatoire of Music and Dance,830,415,0,1250
10006243,St Patrick's International College,855,365,0,1220
10005561,Royal Conservatoire of Scotland,705,515,5,1220
10008010,Stranmillis University College,970,240,0,1210
10015506,The London College UCK,430,760,0,1190
10030129,Nelson College London Ltd,635,505,0,1140
10005545,Royal Agricultural University,590,535,5,1125
10007816,The Royal Central School of Speech and Drama,755,335,5,1100
10007771,London School of Hygiene and Tropical Medicine,755,335,0,1090
10007825,Guildhall School of Music and Drama,535,515,5,1060
10008026,St Mary's University College,755,290,0,1045
10035638,Institute of Contemporary Music Performance,420,610,5,1040
10067853,ACM Guildford Limited,270,730,10,1010
10001653,Conservatoire for Dance and Drama,705,290,5,1000
10009527,Istituto Marangoni Limited,845,120,0,960
10007778,Royal College of Music,465,420,0,890
10007837,Royal Northern College of Music,440,445,0,890
10003945,The Liverpool Institute for Performing Arts,500,380,5,885
10005470,"Richmond, The American International University in London",480,405,0,885
10007835,Royal Academy of Music,425,435,0,860
10008071,AA School of Architecture,485,345,0,830
10023777,Mont Rose College of Management and Sciences,520,305,0,825
10008362,London School of Science and Technology Limited,420,390,0,810
10042500,Global Banking School Limited,295,465,0,765
10007657,Writtle University College,600,165,0,765
